survey_point,14
waypoint,1
grid_reference,SO4616896363
wetness,1
canopy,50
species,Rubus fruticosus
,Mercurialis perennis
,Sambucus nigra
,Hyacinthoides non-scripta
,Arum maculatum
,Glechoma hederacea
,Primula vulgaris
survey_point,10
waypoint,2
grid_reference,SO4616496390
wetness,1
canopy,10
species,Rubus fruticosus
,Geranium robertianum
,Glechoma hederacea
,Stellaria holostea
,Ranunculus repens
,Galium aparine
,Dryopteris dilatata
,Silene dioica
,Urtica dioica
,Primula vulgaris
,Fragaria vesca
,Rumex sanguineus
survey_point,6
waypoint,3
grid_reference,SO4626496419
wetness,1
canopy,40
species,Stellaria holostea
,Corylus avellana
,Rubus fruticosus
,Silene dioica
,Rumex sanguineus
,Rumex acetosa
,Teucrium scorodina
,Ranunculus repens
,Agrostis capillaris
,Primula vulgaris
,Pteridium aquilinum
,Glechoma hederacea
,Kindbergia praelongum
,Digitalis purpurea
,Arrhenathium elatius
survey_point,
waypoint,
grid_reference,
wetness,
canopy,
species,
